title,year,rating,running_time_secs
Forgetting Sarah Marshall,2008,7.2,6660
Law Abiding Citizen,2009,7.2,6540
Tombstone,1993,7.7,7800
Texas Chainsaw 3D,2013,4.8,5520
Lemony Snicket's A Series of Unfortunate Events,2004,6.8,6480
Batman Forever,1995,5.4,7260
Back to the Future Part II,1989,7.7,6480
The Beach,2000,6.4,7140
Field of Dreams,1989,7.5,6420
Father of the Bride,1991,6.3,6300
Breakout,2013,3.9,5340
Whiteout,2009,5.4,6060
Bachelorette,2012,5.2,5220
At Any Price,2012,5.6,6300
Hook,1991,6.4,8640
Once Upon a Time in America,1984,8.4,13740
Resident Evil: Afterlife,2010,5.8,5820
Terminator Salvation,2009,6.7,6900
Wanted,2008,6.7,6600
Due Date,2010,6.5,5700
The Thing,1982,8.2,6540
Edward Scissorhands,1990,8,6300
Passion,2012,5.4,6120
Your Highness,2011,5.5,6120
Smashed,2012,6.6,4860
Happy Gilmore,1996,6.9,5520
X2,2003,7.5,7980
The Strangers,2008,6.1,5160
In Bruges,2008,7.9,6420
The Rum Diary,2011,6.2,7200
John Tucker Must Die,2006,5.5,5340
American Gangster,2007,7.8,9420
Casino,1995,8.2,10680
Weird Science,1985,6.4,5640
Artificial Intelligence: AI,2001,7,8760
Memoirs of a Geisha,2005,7.1,8700
The Patriot,2000,6.9,9900
Die unendliche Geschichte,1984,7.3,6120
Total Recall,1990,7.5,6780
The Tree of Life,2011,6.8,8340
Dirty Dancing,1987,6.6,6000
Fiddler on the Roof,1971,7.8,10860
Peter Pan,2003,6.8,6780
Blade: Trinity,2004,5.8,6780
